user_id,group_id,event_count,interest_vector
3431,10,36,"0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.032544;0.000000;0.000000;0.000000;0.967456;0.000000"
3432,11,737,"0.036274;0.001524;0.002281;0.003525;0.002451;0.002157;0.002833;0.002417;0.003309;0.003681;0.003040;0.936507"
3433,0,66,"0.939394;0.000636;0.000223;0.000000;0.001601;0.000000;0.051011;0.002621;0.001516;0.000000;0.002691;0.000307"
3434,1,58,"0.024893;0.966788;0.000201;0.000000;0.002724;0.001509;0.000000;0.001188;0.002047;0.000000;0.000000;0.000650"
3435,2,38,"0.001032;0.000000;0.807044;0.000000;0.000000;0.140001;0.030320;0.005751;0.006423;0.001716;0.002822;0.004890"
3436,3,80,"0.000000;0.148942;0.002899;0.835731;0.000000;0.000000;0.001956;0.002584;0.000000;0.001591;0.004941;0.001357"
3437,4,41,"0.000000;0.000706;0.000000;0.000000;0.968628;0.025651;0.000000;0.000000;0.002771;0.002245;0.000000;0.000000"
3438,5,465,"0.005352;0.001205;0.003514;0.057437;0.001921;0.920737;0.000720;0.001234;0.001385;0.003073;0.001973;0.001449"
3439,6,218,"0.001250;0.000202;0.000221;0.001122;0.001310;0.000279;0.935970;0.000157;0.000392;0.000728;0.000487;0.057881"
3440,7,65,"0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.905952;0.094048;0.000000;0.000000;0.000000"
3441,8,611,"0.000549;0.000622;0.000948;0.001060;0.000683;0.029895;0.001345;0.000670;0.959871;0.000871;0.002232;0.001254"
3442,9,30,"0.019943;0.000000;0.000000;0.000000;0.000217;0.001624;0.000000;0.000000;0.000000;0.978217;0.000000;0.000000"
3443,10,49,"0.000000;0.000000;0.000000;0.072398;0.000000;0.000000;0.000959;0.000000;0.000000;0.000000;0.926643;0.000000"
3444,11,26,"0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.023277;0.000000;0.976723"
3445,0,61,"0.878271;0.003241;0.005565;0.000000;0.108576;0.000000;0.000000;0.000000;0.000000;0.002857;0.001489;0.000000"
3446,1,71,"0.001538;0.974502;0.000000;0.000000;0.001664;0.000000;0.000000;0.000000;0.021640;0.000656;0.000000;0.000000"
3447,2,63,"0.000000;0.000000;0.921829;0.000000;0.000000;0.078171;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
3448,3,82,"0.000000;0.000000;0.000000;0.886306;0.099686;0.003974;0.002617;0.002893;0.001207;0.000000;0.001295;0.002021"
3449,4,138,"0.004496;0.001661;0.003592;0.002804;0.948870;0.017560;0.004254;0.001289;0.001835;0.004919;0.004064;0.004655"
3450,5,75,"0.001625;0.000000;0.003372;0.000000;0.000000;0.951093;0.000000;0.000000;0.036552;0.001177;0.006180;0.000000"
3451,6,27,"0.001604;0.000000;0.004612;0.000000;0.000000;0.000000;0.943052;0.046339;0.000000;0.004393;0.000000;0.000000"
3452,7,152,"0.001924;0.001534;0.001025;0.003463;0.002508;0.001037;0.001769;0.936111;0.000545;0.048266;0.000936;0.000883"
3453,8,73,"0.001922;0.001024;0.003436;0.000719;0.000458;0.000000;0.003137;0.037808;0.945930;0.002178;0.001725;0.001663"
3454,9,205,"0.002761;0.002224;0.003033;0.029135;0.001793;0.002941;0.003911;0.007030;0.007351;0.935131;0.001551;0.003139"
3455,10,221,"0.000962;0.000656;0.000330;0.000989;0.000606;0.002136;0.001523;0.018896;0.000860;0.001197;0.971181;0.000662"
3456,11,232,"0.002670;0.000808;0.001639;0.000000;0.002561;0.034945;0.000755;0.002733;0.001692;0.002727;0.002884;0.946585"
3457,0,43,"0.933942;0.007533;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.052406;0.000000;0.003510;0.002609"
3458,1,52,"0.007108;0.909611;0.006837;0.005060;0.005673;0.040858;0.002928;0.006576;0.008145;0.002484;0.000000;0.004721"
3459,2,237,"0.000000;0.000233;0.934657;0.000030;0.000130;0.000161;0.000000;0.063815;0.000132;0.000108;0.000491;0.000243"
3460,3,51,"0.005253;0.002128;0.131670;0.840873;0.000000;0.001621;0.001732;0.008692;0.001997;0.004483;0.000000;0.001553"
3461,4,39,"0.000000;0.022700;0.000000;0.000000;0.969035;0.000000;0.004069;0.000000;0.002024;0.000000;0.002172;0.000000"
3462,5,37,"0.015158;0.000000;0.000000;0.005203;0.008072;0.882521;0.065908;0.000000;0.008031;0.015106;0.000000;0.000000"
3463,6,63,"0.114021;0.002001;0.001499;0.000000;0.000000;0.000000;0.863960;0.002617;0.001618;0.002976;0.003409;0.007899"
3464,7,39,"0.000000;0.000000;0.001831;0.004497;0.004269;0.000000;0.001480;0.883982;0.000000;0.000000;0.099842;0.004099"
3465,8,51,"0.095692;0.000000;0.000000;0.002117;0.000000;0.000000;0.000000;0.000000;0.902191;0.000000;0.000000;0.000000"
3466,9,45,"0.000000;0.000000;0.001980;0.001710;0.117058;0.000000;0.000000;0.000000;0.000000;0.879253;0.000000;0.000000"
3467,10,49,"0.000000;0.002541;0.000354;0.000000;0.001942;0.071657;0.000000;0.002654;0.000885;0.007496;0.909867;0.002605"
3468,11,136,"0.000000;0.000000;0.000000;0.000000;0.000648;0.000000;0.000000;0.000000;0.000000;0.039051;0.000776;0.959525"
3469,0,78,"0.926183;0.000000;0.000000;0.000000;0.042650;0.021842;0.001260;0.002220;0.003484;0.001142;0.001219;0.000000"
3470,1,58,"0.002852;0.907547;0.002319;0.003504;0.000000;0.004286;0.007700;0.001331;0.004136;0.007731;0.004656;0.053938"
3471,2,127,"0.007417;0.014470;0.886379;0.005689;0.003551;0.003959;0.006302;0.006786;0.002380;0.003467;0.002752;0.056848"
3472,3,25,"0.000000;0.007487;0.000000;0.933702;0.000372;0.028030;0.005342;0.001115;0.023952;0.000000;0.000000;0.000000"
3473,4,65,"0.000000;0.000000;0.000000;0.000000;0.961154;0.000000;0.000000;0.000000;0.000000;0.038846;0.000000;0.000000"
3474,5,173,"0.001083;0.002415;0.000616;0.001665;0.046598;0.941787;0.000635;0.000000;0.000000;0.003332;0.000000;0.001869"
3475,6,215,"0.000280;0.001225;0.000480;0.115127;0.000000;0.000000;0.881093;0.000368;0.000367;0.000000;0.000578;0.000481"
3476,7,70,"0.000000;0.000000;0.000000;0.000000;0.000591;0.001533;0.000861;0.952166;0.001204;0.043645;0.000000;0.000000"
3477,8,33,"0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.964271;0.035729;0.000000;0.000000"
3478,9,668,"0.001742;0.044411;0.002248;0.003296;0.004352;0.003697;0.001975;0.002547;0.001889;0.928889;0.002082;0.002872"
3479,10,51,"0.000429;0.000000;0.001242;0.092179;0.003968;0.000919;0.000806;0.000000;0.000851;0.002373;0.897235;0.000000"
3480,11,58,"0.012869;0.007800;0.007816;0.052230;0.000083;0.001150;0.002167;0.009924;0.000000;0.000000;0.001518;0.904442"
3481,0,214,"0.951676;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000879;0.047410;0.000000;0.000000;0.000035"
3482,1,28,"0.003686;0.869657;0.124341;0.000815;0.000000;0.000000;0.000000;0.000000;0.001229;0.000000;0.000000;0.000272"
3483,2,27,"0.000000;0.000000;0.897576;0.000000;0.000000;0.000000;0.102424;0.000000;0.000000;0.000000;0.000000;0.000000"
3484,3,54,"0.000945;0.000000;0.023564;0.957279;0.000000;0.011963;0.000927;0.000000;0.000832;0.000278;0.001718;0.002495"
3485,4,25,"0.000000;0.000000;0.000000;0.000000;0.878574;0.000000;0.000000;0.000000;0.000000;0.121426;0.000000;0.000000"
3486,5,67,"0.000000;0.000000;0.000000;0.000000;0.000000;0.968314;0.000000;0.000000;0.000000;0.000000;0.000000;0.031686"
3487,6,48,"0.000000;0.070409;0.000000;0.000000;0.003420;0.003552;0.904120;0.000000;0.004333;0.002049;0.006698;0.005419"
3488,7,40,"0.000000;0.000000;0.000000;0.000000;0.102552;0.000000;0.000000;0.897448;0.000000;0.000000;0.000000;0.000000"
3489,8,39,"0.000000;0.000000;0.003096;0.000000;0.000000;0.000000;0.000000;0.000000;0.945242;0.000000;0.051662;0.000000"
3490,9,46,"0.003335;0.003121;0.000000;0.003065;0.000000;0.002291;0.043412;0.003999;0.004741;0.934872;0.000000;0.001165"
3491,10,29,"0.007266;0.000000;0.006096;0.000000;0.007436;0.003694;0.018190;0.000000;0.002032;0.010081;0.890535;0.054671"
3492,11,66,"0.130063;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.869937"
3493,0,175,"0.949682;0.002546;0.003228;0.002940;0.001450;0.003158;0.004387;0.003256;0.002900;0.001198;0.023152;0.002102"
3494,1,56,"0.000000;0.934858;0.003937;0.003121;0.000000;0.041373;0.008355;0.007037;0.000000;0.000000;0.001319;0.000000"
3495,2,56,"0.001334;0.064952;0.920850;0.000741;0.002885;0.002239;0.000000;0.000827;0.003433;0.001339;0.001400;0.000000"
3496,3,69,"0.000000;0.001854;0.001127;0.804406;0.179326;0.000000;0.003379;0.007242;0.002259;0.000000;0.000000;0.000407"
3497,4,25,"0.000000;0.000000;0.000000;0.000000;0.940640;0.000000;0.000000;0.000000;0.000000;0.059360;0.000000;0.000000"
3498,5,164,"0.002387;0.002183;0.001717;0.000833;0.000393;0.925928;0.003681;0.000284;0.055279;0.001829;0.004876;0.000609"
3499,6,59,"0.002984;0.006789;0.000000;0.003500;0.021497;0.000000;0.945231;0.002556;0.000000;0.003132;0.006921;0.007390"
3500,7,24,"0.003335;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.952575;0.009212;0.000000;0.034877;0.000000"
3501,8,37,"0.000000;0.000000;0.056170;0.001644;0.008467;0.000000;0.000000;0.007477;0.924486;0.000000;0.000000;0.001756"
3502,9,35,"0.005400;0.000000;0.000000;0.000000;0.092012;0.000000;0.002121;0.001733;0.004056;0.894678;0.000000;0.000000"
3503,10,20,"0.003433;0.002790;0.000000;0.003757;0.000000;0.000000;0.015537;0.000000;0.017516;0.006102;0.950866;0.000000"
3504,11,35,"0.025412;0.000000;0.000697;0.000327;0.000000;0.002092;0.000000;0.007159;0.000000;0.004168;0.000000;0.960144"
3505,0,202,"0.920291;0.001557;0.003850;0.001610;0.059375;0.002163;0.000596;0.000506;0.002023;0.006346;0.001461;0.000222"
3506,1,194,"0.001364;0.938174;0.001948;0.000897;0.041024;0.002564;0.001729;0.001976;0.001266;0.004965;0.000781;0.003311"
3507,2,83,"0.000000;0.000000;0.933397;0.066603;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
3508,3,234,"0.000278;0.000000;0.000859;0.925894;0.000156;0.000994;0.000455;0.069218;0.000076;0.000654;0.000718;0.000698"
3509,4,73,"0.009847;0.003835;0.015839;0.001311;0.870458;0.002507;0.007326;0.002483;0.004223;0.000555;0.081617;0.000000"
3510,5,76,"0.000000;0.000000;0.000000;0.000000;0.067806;0.932194;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000"
3511,6,174,"0.073642;0.000000;0.000337;0.000000;0.000000;0.000000;0.925441;0.000580;0.000000;0.000000;0.000000;0.000000"
3512,7,67,"0.000000;0.117064;0.002898;0.002434;0.001285;0.000000;0.003472;0.872847;0.000000;0.000000;0.000000;0.000000"
3513,8,57,"0.000000;0.001670;0.001149;0.000639;0.002169;0.000000;0.001801;0.000000;0.950409;0.038519;0.001917;0.001726"
3514,9,33,"0.003058;0.003293;0.079906;0.000000;0.004570;0.007393;0.000000;0.000000;0.008744;0.893035;0.000000;0.000000"
3515,10,30,"0.000000;0.000000;0.000000;0.000000;0.000000;0.005280;0.000000;0.000000;0.000000;0.020231;0.974489;0.000000"
3516,11,43,"0.002356;0.000000;0.000000;0.096652;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.900992"
3517,0,26,"0.982789;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.003437;0.013775;0.000000"
3518,1,922,"0.001810;0.934809;0.001241;0.001390;0.000934;0.001274;0.049791;0.002202;0.000926;0.001610;0.001684;0.002328"
3519,2,66,"0.002332;0.001217;0.950844;0.021838;0.003942;0.002149;0.002508;0.002543;0.002177;0.000000;0.003571;0.006879"
3520,3,134,"0.001095;0.000545;0.000000;0.902613;0.000945;0.000736;0.000000;0.088983;0.000748;0.000746;0.000000;0.003589"
3521,4,80,"0.000000;0.073886;0.001710;0.001186;0.916815;0.000000;0.002432;0.001117;0.000000;0.002231;0.000623;0.000000"
3522,5,148,"0.001966;0.002719;0.000652;0.000067;0.000376;0.961045;0.001469;0.000000;0.027610;0.001055;0.002682;0.000359"
3523,6,45,"0.003126;0.000000;0.075131;0.000000;0.000573;0.003222;0.910083;0.000000;0.000000;0.005315;0.000000;0.002550"
3524,7,366,"0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.039591;0.960409;0.000000;0.000000;0.000000;0.000000"
3525,8,150,"0.002642;0.001842;0.055704;0.002531;0.001163;0.001674;0.001817;0.002026;0.925733;0.001709;0.002094;0.001065"
3526,9,78,"0.000000;0.000000;0.000000;0.000000;0.001977;0.000000;0.000665;0.000000;0.000000;0.961418;0.000000;0.035939"
3527,10,60,"0.000000;0.000000;0.000718;0.000000;0.000000;0.040627;0.000000;0.003874;0.003393;0.000686;0.948146;0.002557"
3528,11,66,"0.000715;0.003622;0.000000;0.000754;0.000000;0.000000;0.020821;0.000000;0.000000;0.002026;0.005913;0.966150"
3529,0,21,"0.965327;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.034673;0.000000;0.000000"
3530,1,56,"0.000000;0.959978;0.000000;0.000000;0.000790;0.000000;0.000598;0.036266;0.000000;0.000000;0.000000;0.002369"
3531,2,55,"0.000000;0.008267;0.938459;0.000000;0.000000;0.000000;0.001919;0.000701;0.050654;0.000000;0.000000;0.000000"
3532,3,31,"0.001225;0.026560;0.000000;0.964256;0.000000;0.000000;0.001063;0.000000;0.000000;0.000000;0.000000;0.006896"
3533,4,40,"0.002604;0.000000;0.000000;0.000000;0.871055;0.000000;0.000000;0.000000;0.000000;0.126341;0.000000;0.000000"
3534,5,191,"0.002587;0.005223;0.001960;0.003028;0.004100;0.918647;0.001980;0.000902;0.051362;0.004521;0.003812;0.001880"
3535,6,25,"0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.938890;0.000000;0.061110;0.000000;0.000000;0.000000"
3536,7,51,"0.000000;0.000000;0.000000;0.000000;0.001115;0.000000;0.000000;0.892910;0.001204;0.000000;0.000000;0.104771"
3537,8,69,"0.000000;0.000000;0.001932;0.000489;0.156932;0.000000;0.000000;0.000000;0.838117;0.002530;0.000000;0.000000"
3538,9,73,"0.000000;0.001598;0.000000;0.001826;0.000000;0.057451;0.000000;0.000000;0.002912;0.933522;0.001918;0.000773"
3539,10,165,"0.000813;0.000558;0.002848;0.000000;0.000000;0.000000;0.001603;0.000317;0.034853;0.000855;0.957287;0.000866"
3540,11,725,"0.002755;0.002513;0.001542;0.002143;0.001733;0.002238;0.002800;0.003562;0.004174;0.002109;0.039376;0.935056"
3541,0,133,"0.963538;0.000000;0.000097;0.001997;0.002777;0.027703;0.000688;0.001221;0.000000;0.001191;0.000729;0.000058"
3542,1,67,"0.001236;0.935578;0.000949;0.034621;0.002228;0.007256;0.002328;0.005394;0.001549;0.002802;0.004474;0.001587"
3543,2,59,"0.001465;0.008366;0.874536;0.006394;0.004215;0.096920;0.001769;0.000000;0.000784;0.001243;0.002706;0.001602"
3544,3,28,"0.004707;0.039390;0.000000;0.936589;0.000000;0.009794;0.000000;0.005065;0.000000;0.002523;0.000000;0.001931"
3545,4,38,"0.000000;0.000000;0.000000;0.000000;0.868693;0.000000;0.001395;0.003245;0.000000;0.122549;0.000000;0.004117"
3546,5,136,"0.001986;0.002017;0.001748;0.000000;0.056931;0.929087;0.002452;0.002308;0.001522;0.001647;0.000302;0.000000"
3547,6,26,"0.000000;0.000000;0.000000;0.000000;0.001284;0.000000;0.944084;0.054633;0.000000;0.000000;0.000000;0.000000"
3548,7,32,"0.000869;0.005649;0.000753;0.002914;0.000000;0.001429;0.000000;0.937357;0.000000;0.000000;0.000000;0.051029"
3549,8,24,"0.000000;0.073911;0.004614;0.000000;0.002548;0.000000;0.000000;0.000000;0.918927;0.000000;0.000000;0.000000"
3550,9,248,"0.000000;0.000335;0.000463;0.000872;0.000000;0.000000;0.000000;0.000626;0.000000;0.906806;0.000233;0.090667"
3551,10,179,"0.002637;0.001652;0.002837;0.001849;0.001223;0.007953;0.082320;0.003469;0.002375;0.001613;0.889766;0.002306"
3552,11,75,"0.000000;0.000000;0.000000;0.187983;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.812017"
3553,0,110,"0.890770;0.001240;0.000000;0.000416;0.001014;0.000000;0.106081;0.000000;0.000419;0.000060;0.000000;0.000000"
3554,1,76,"0.000000;0.958337;0.000000;0.035297;0.000000;0.000000;0.000000;0.000000;0.001333;0.000000;0.003822;0.001211"
3555,2,57,"0.000064;0.050731;0.937165;0.000000;0.001671;0.000000;0.004079;0.001693;0.002400;0.000000;0.001135;0.001063"
3556,3,221,"0.000131;0.000376;0.080628;0.918757;0.000000;0.000000;0.000108;0.000000;0.000000;0.000000;0.000000;0.000000"
3557,4,555,"0.000587;0.001096;0.001747;0.001243;0.849829;0.001196;0.003094;0.001141;0.001251;0.001537;0.135297;0.001983"
3558,5,56,"0.002130;0.008926;0.000000;0.064738;0.000286;0.911763;0.001403;0.001407;0.000000;0.001121;0.006146;0.002079"
3559,6,55,"0.001229;0.000000;0.000981;0.001592;0.002379;0.000000;0.932287;0.001753;0.000000;0.004292;0.053747;0.001739"
3560,7,69,"0.001026;0.001227;0.004266;0.000000;0.000000;0.001873;0.004587;0.941775;0.003172;0.001702;0.038899;0.001474"
3561,8,71,"0.000000;0.000000;0.000000;0.002163;0.003093;0.000000;0.000000;0.067225;0.916488;0.001924;0.004081;0.005027"
3562,9,80,"0.000000;0.004276;0.005137;0.004857;0.000418;0.001900;0.000000;0.000000;0.070736;0.911121;0.000556;0.000999"
3563,10,137,"0.000000;0.000967;0.003873;0.001458;0.001533;0.000000;0.002028;0.001152;0.002757;0.001927;0.949386;0.034920"
3564,11,184,"0.021877;0.002058;0.001897;0.002451;0.000738;0.002086;0.000856;0.000954;0.001748;0.001815;0.001114;0.962404"
3565,0,45,"0.898347;0.000000;0.000000;0.006422;0.002669;0.002439;0.000000;0.000000;0.003637;0.001703;0.081065;0.003718"
3566,1,37,"0.000000;0.907564;0.059427;0.000000;0.003019;0.000000;0.008476;0.000000;0.003975;0.008100;0.001783;0.007656"
3567,2,76,"0.001262;0.002742;0.871405;0.001647;0.000000;0.000000;0.002593;0.002261;0.003372;0.005554;0.107812;0.001351"
3568,3,32,"0.000207;0.007900;0.049704;0.898501;0.003432;0.001501;0.009627;0.000000;0.013607;0.000000;0.006839;0.008685"
3569,4,28,"0.000000;0.001947;0.005487;0.004744;0.728574;0.004511;0.000000;0.234390;0.005408;0.007729;0.002043;0.005169"
3570,5,75,"0.000000;0.000000;0.000244;0.060767;0.000000;0.930245;0.000000;0.001707;0.000000;0.001352;0.001447;0.004238"
3571,6,26,"0.000000;0.000000;0.000000;0.079956;0.000000;0.005062;0.870379;0.000000;0.018282;0.000000;0.005324;0.020998"
3572,7,38,"0.000000;0.000000;0.189188;0.000000;0.001472;0.004803;0.003660;0.800877;0.000000;0.000000;0.000000;0.000000"
3573,8,66,"0.000279;0.000000;0.001813;0.002091;0.002482;0.023838;0.001509;0.001935;0.966054;0.000000;0.000000;0.000000"
3574,9,515,"0.007788;0.002836;0.004295;0.055245;0.003030;0.003925;0.004218;0.004033;0.007101;0.902167;0.002406;0.002957"
3575,10,141,"0.001890;0.000000;0.058779;0.001500;0.002159;0.000146;0.002188;0.002272;0.000828;0.001573;0.928321;0.000345"
3576,11,70,"0.000000;0.001045;0.005453;0.000000;0.002459;0.004912;0.000000;0.024844;0.001333;0.000000;0.002275;0.957679"
3577,0,37,"0.933811;0.002079;0.000000;0.000000;0.002443;0.000214;0.000000;0.001602;0.000000;0.052125;0.002496;0.005231"
3578,1,69,"0.002932;0.937570;0.006918;0.003604;0.007430;0.003220;0.004367;0.001028;0.001411;0.024507;0.004059;0.002955"
3579,2,31,"0.001586;0.000000;0.970752;0.000000;0.000000;0.000000;0.000000;0.021537;0.002293;0.000000;0.000000;0.003831"
3580,3,42,"0.008815;0.005216;0.000000;0.957610;0.000000;0.000000;0.004259;0.023209;0.000000;0.000000;0.000891;0.000000"
3581,4,75,"0.000477;0.000000;0.000285;0.003130;0.964981;0.004294;0.001874;0.000974;0.018440;0.001701;0.003845;0.000000"
3582,5,77,"0.001012;0.003792;0.000000;0.011134;0.000663;0.943842;0.008630;0.001085;0.000337;0.025703;0.003802;0.000000"
3583,6,71,"0.003258;0.000000;0.001377;0.000000;0.000000;0.000569;0.959055;0.000000;0.000593;0.002158;0.000000;0.032990"
3584,7,132,"0.000990;0.003433;0.002498;0.000625;0.000842;0.032341;0.002692;0.945401;0.001334;0.003908;0.003757;0.002179"
3585,8,43,"0.000000;0.002386;0.000000;0.016827;0.002028;0.000000;0.000000;0.000000;0.975904;0.000000;0.002855;0.000000"
3586,9,137,"0.006437;0.000900;0.002942;0.026878;0.007545;0.005115;0.002242;0.003621;0.007360;0.928886;0.002841;0.005232"
3587,10,70,"0.000000;0.004698;0.008199;0.001828;0.003873;0.006729;0.005178;0.016988;0.000650;0.008483;0.939607;0.003768"
3588,11,903,"0.002272;0.003136;0.001914;0.001573;0.002179;0.003048;0.002125;0.002504;0.090216;0.002930;0.002451;0.885653"
3589,0,77,"0.941617;0.009160;0.001395;0.000833;0.036335;0.000600;0.003655;0.000774;0.002081;0.000000;0.003549;0.000000"
3590,1,67,"0.000000;0.947286;0.001215;0.001834;0.001650;0.000000;0.000000;0.003515;0.040561;0.003940;0.000000;0.000000"
3591,2,73,"0.000000;0.000000;0.938036;0.003404;0.000000;0.006026;0.004015;0.002438;0.001661;0.037108;0.004181;0.003131"
3592,3,45,"0.003080;0.000000;0.002484;0.915466;0.000000;0.070113;0.003483;0.000000;0.000000;0.005373;0.000000;0.000000"
3593,4,69,"0.000224;0.000000;0.004361;0.000000;0.902279;0.000460;0.001408;0.090253;0.000000;0.000000;0.000000;0.001014"
3594,5,50,"0.000219;0.000000;0.004373;0.004484;0.000782;0.940989;0.003963;0.004266;0.000000;0.000746;0.038519;0.001658"
3595,6,35,"0.034433;0.000000;0.007423;0.006293;0.005109;0.004862;0.913091;0.000000;0.002463;0.010913;0.010324;0.005091"
3596,7,29,"0.002355;0.005492;0.002069;0.083163;0.010221;0.009684;0.001704;0.868469;0.000000;0.016616;0.000000;0.000227"
3597,8,200,"0.000874;0.000338;0.000541;0.002581;0.001996;0.002497;0.040954;0.000707;0.945183;0.001206;0.001175;0.001949"
3598,9,175,"0.001815;0.002317;0.000868;0.002390;0.000748;0.001987;0.002980;0.001767;0.022147;0.955105;0.001752;0.006125"
3599,10,127,"0.000000;0.002387;0.000800;0.001433;0.003489;0.003012;0.001386;0.005060;0.000738;0.051802;0.929893;0.000000"
3600,11,39,"0.000000;0.009467;0.000000;0.000000;0.000000;0.000000;0.002426;0.000740;0.003340;0.000000;0.000000;0.984027"
3601,0,31,"0.930527;0.000000;0.001812;0.000000;0.000000;0.055153;0.000000;0.000000;0.000000;0.007754;0.000000;0.004754"
3602,1,233,"0.000948;0.888118;0.003296;0.002272;0.099116;0.000000;0.002431;0.000378;0.000000;0.002022;0.000774;0.000646"
3603,2,66,"0.036423;0.003336;0.944414;0.000000;0.002129;0.000466;0.000603;0.002105;0.001293;0.002922;0.003296;0.003012"
3604,3,100,"0.001871;0.016222;0.001179;0.963843;0.000322;0.002006;0.003300;0.003556;0.002369;0.001440;0.000000;0.003893"
3605,4,202,"0.000579;0.000726;0.000493;0.000847;0.907925;0.082465;0.001358;0.000259;0.001336;0.000658;0.001543;0.001810"
3606,5,59,"0.000000;0.003527;0.004465;0.000507;0.100928;0.877987;0.000000;0.003294;0.001832;0.006052;0.000000;0.001408"
3607,6,50,"0.000000;0.004003;0.003059;0.000000;0.003031;0.001548;0.938398;0.000000;0.001062;0.044833;0.000000;0.004065"
3608,7,73,"0.054260;0.002392;0.005868;0.003883;0.007532;0.004856;0.000351;0.905962;0.000000;0.005742;0.003817;0.005339"
3609,8,55,"0.004262;0.000000;0.000000;0.099106;0.001219;0.001946;0.001140;0.002852;0.880414;0.000000;0.005708;0.003353"
3610,9,33,"0.000000;0.051513;0.000000;0.003118;0.000000;0.004460;0.002490;0.007980;0.000888;0.927083;0.002468;0.000000"
3611,10,44,"0.000000;0.000000;0.000000;0.001011;0.001800;0.005301;0.000000;0.100230;0.000000;0.000000;0.891657;0.000000"
3612,11,20,"0.001174;0.019063;0.000000;0.011248;0.000850;0.000000;0.000000;0.000000;0.000000;0.008155;0.000000;0.959510"
3613,0,64,"0.873167;0.000000;0.001058;0.003063;0.000000;0.000000;0.118919;0.000000;0.000000;0.002609;0.001185;0.000000"
3614,1,78,"0.002707;0.884331;0.001300;0.000000;0.006761;0.000000;0.087736;0.002544;0.000000;0.007392;0.004613;0.002616"
3615,2,74,"0.001936;0.000778;0.965428;0.001905;0.002746;0.000000;0.005273;0.000000;0.000756;0.018416;0.002763;0.000000"
3616,3,49,"0.000000;0.000000;0.000000;0.926340;0.068151;0.000000;0.000000;0.001008;0.000000;0.000000;0.003211;0.001290"
3617,4,41,"0.000000;0.001251;0.000000;0.000000;0.989109;0.000000;0.007891;0.000000;0.000000;0.000000;0.000000;0.001749"
3618,5,27,"0.000000;0.000000;0.000000;0.003488;0.014236;0.953367;0.000000;0.016284;0.001830;0.000000;0.005490;0.005305"
3619,6,28,"0.000000;0.001071;0.000000;0.000000;0.000000;0.063658;0.935271;0.000000;0.000000;0.000000;0.000000;0.000000"
3620,7,50,"0.001966;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.936868;0.000000;0.000000;0.061165;0.000000"
3621,8,31,"0.003971;0.000000;0.040412;0.010137;0.000000;0.000000;0.000000;0.000000;0.939399;0.000598;0.003689;0.001794"
3622,9,74,"0.043689;0.017789;0.000669;0.002034;0.000000;0.000000;0.003165;0.000750;0.000000;0.929747;0.000000;0.002158"
3623,10,65,"0.000044;0.002136;0.036210;0.000000;0.003851;0.008406;0.000000;0.000000;0.002472;0.000000;0.946881;0.000000"
3624,11,63,"0.003163;0.001731;0.002184;0.000000;0.000000;0.001553;0.001300;0.000000;0.057876;0.002274;0.000000;0.929918"
3625,0,45,"0.966681;0.000000;0.005091;0.002422;0.003477;0.000000;0.001721;0.017315;0.000000;0.001999;0.001295;0.000000"
3626,1,57,"0.002671;0.947438;0.002634;0.001158;0.002895;0.002610;0.004403;0.002642;0.001847;0.005070;0.003260;0.023372"
3627,2,745,"0.001197;0.000452;0.892147;0.099324;0.000935;0.000840;0.000877;0.001039;0.001116;0.000729;0.000430;0.000916"
3628,3,143,"0.004864;0.000917;0.001471;0.936833;0.003099;0.002437;0.001979;0.008420;0.027586;0.002784;0.005753;0.003856"
3629,4,56,"0.004537;0.000000;0.000000;0.003709;0.929225;0.000000;0.000000;0.000000;0.000000;0.002366;0.057287;0.002876"
3630,5,59,"0.007505;0.003196;0.000000;0.009148;0.005296;0.928652;0.005267;0.000000;0.006214;0.025536;0.007266;0.001920"
3631,6,217,"0.003788;0.004156;0.001754;0.003828;0.001092;0.000804;0.900585;0.079700;0.000432;0.001867;0.000467;0.001528"
3632,7,59,"0.002963;0.000000;0.000737;0.153873;0.001974;0.000000;0.000000;0.836469;0.000000;0.000000;0.003985;0.000000"
